,log_dir,frame_per_second,episode_reward,total_steps,total_episodes,total_time,target_q,actor_loss,critic_loss,success_rate,current_q1,current_q2,reward
0,MetaDrive-Tut-5Env-v0,596,11.72011373526681,2001,2,3.3544392585754395,,,,0.0,,,
1,MetaDrive-Tut-5Env-v0,691,11.966969246674362,3002,3,4.34410548210144,,,,0.0,,,
2,MetaDrive-Tut-5Env-v0,760,11.755510090932633,4003,4,5.266080141067505,,,,0.0,,,
3,MetaDrive-Tut-5Env-v0,811,11.419446161981814,5004,5,6.163396596908569,,,,0.0,,,
4,MetaDrive-Tut-5Env-v0,836,11.33479452570196,6005,6,7.180919885635376,,,,0.0,,,
5,MetaDrive-Tut-5Env-v0,854,11.09762761585184,7006,7,8.196407079696655,,,,0.0,,,
6,MetaDrive-Tut-5Env-v0,859,11.103900141995288,8007,8,9.313387393951416,,,,0.0,,,
7,MetaDrive-Tut-5Env-v0,875,11.09033101859352,9008,9,10.287754774093628,,,,0.0,,,
8,MetaDrive-Tut-5Env-v0,877,11.055413895222951,10009,10,11.402493000030518,0.00816364400088787,-0.01742430403828621,0.002284744754433632,0.0,0.018162377178668976,-0.03143360838294029,0.010304775089025497
9,MetaDrive-Tut-5Env-v0,675,0.5095365733804273,11017,58,16.31848382949829,0.04036851227283478,-0.07953305542469025,0.39902931451797485,0.0,0.06999824196100235,0.06993435323238373,-0.016765376552939415
10,MetaDrive-Tut-5Env-v0,585,-0.26745762811349005,12025,78,20.535918712615967,0.0700695738196373,-0.0404173880815506,0.1875605583190918,0.0,0.02981722354888916,0.04169836640357971,0.005117237102240324
11,MetaDrive-Tut-5Env-v0,523,-2.1992456074805253,13011,112,24.865023612976074,0.08176594972610474,-0.053742870688438416,0.17262746393680573,0.0,0.029399771243333817,0.04225046932697296,0.009619414806365967
12,MetaDrive-Tut-5Env-v0,473,-2.446664237589201,14019,154,29.6320858001709,0.005753127858042717,-0.045540038496255875,0.25315791368484497,0.0,0.03545059263706207,0.01153147779405117,-0.0403209924697876
13,MetaDrive-Tut-5Env-v0,437,-2.063237393245996,15014,196,34.34112548828125,0.11666108667850494,,0.1261412650346756,0.0,0.09655619412660599,0.11802174896001816,-0.009353411383926868
14,MetaDrive-Tut-5Env-v0,410,-0.5150332036881203,16022,235,39.01727747917175,-0.008226566016674042,,0.07745601236820221,0.0,-0.007272740826010704,0.00032866746187210083,-0.022323109209537506
15,MetaDrive-Tut-5Env-v0,390,3.556523124740234,17008,261,43.54126596450806,0.00032454729080200195,,0.1932934671640396,0.0,-0.0034291818737983704,-0.032915934920310974,0.013313078321516514
16,MetaDrive-Tut-5Env-v0,372,8.363303702746343,18029,287,48.363967418670654,0.35076019167900085,-0.43695008754730225,0.3830210864543915,0.0,0.33596476912498474,0.3341987729072571,0.03595851734280586
17,MetaDrive-Tut-5Env-v0,358,12.705262394630289,19024,310,53.05488395690918,0.6262478828430176,,1.1811609268188477,0.0,0.767419695854187,0.7237861156463623,-0.028079750016331673
18,MetaDrive-Tut-5Env-v0,348,20.643660097720062,20072,325,57.61829924583435,1.130340814590454,,1.0504953861236572,0.0,1.1562840938568115,1.1262191534042358,0.06627625972032547
19,MetaDrive-Tut-5Env-v0,339,25.515777326405257,21044,341,61.92979311943054,2.021596670150757,,1.5268189907073975,0.0,1.9395548105239868,1.9625414609909058,0.08061165362596512
20,MetaDrive-Tut-5Env-v0,329,31.236569059374716,22046,356,66.84035420417786,2.8224735260009766,,0.27388548851013184,0.0,2.781625270843506,2.7604804039001465,0.156100332736969
21,MetaDrive-Tut-5Env-v0,322,35.67905939315563,23023,372,71.36601662635803,3.483541250228882,-3.5658559799194336,1.0506387948989868,0.0,3.2739920616149902,3.343531608581543,0.10558708012104034
22,MetaDrive-Tut-5Env-v0,316,44.41190261798193,24117,383,76.08859848976135,4.446957111358643,-4.85811710357666,2.953342914581299,0.0,4.605593681335449,4.572059631347656,0.18854469060897827
23,MetaDrive-Tut-5Env-v0,310,52.633928124847195,25120,392,80.97390627861023,5.628215789794922,,1.5288453102111816,0.0,5.517254829406738,5.359072685241699,0.2870427370071411
24,MetaDrive-Tut-5Env-v0,302,62.1073738197439,26117,400,86.21177673339844,6.638576507568359,-6.802051067352295,1.445102334022522,0.0,6.474912643432617,6.423587799072266,0.2954294681549072
25,MetaDrive-Tut-5Env-v0,297,69.38434835217002,27044,408,90.83755469322205,7.6941046714782715,,2.688239097595215,0.0,7.723867416381836,7.733591556549072,0.3126921057701111
26,MetaDrive-Tut-5Env-v0,293,74.95026903246944,28030,417,95.38867354393005,9.029836654663086,,0.8820586800575256,0.0,8.674256324768066,8.74696159362793,0.37749966979026794
27,MetaDrive-Tut-5Env-v0,288,81.35064399035869,29106,425,100.73483419418335,10.447371482849121,,1.189394474029541,0.0,10.308601379394531,10.3663911819458,0.3786989450454712
28,MetaDrive-Tut-5Env-v0,284,88.8632463307553,30001,432,105.38834834098816,11.590808868408203,-12.276473999023438,5.054309844970703,0.0,11.748919486999512,11.637274742126465,0.3369021415710449
29,MetaDrive-Tut-5Env-v0,281,94.52509371270635,31052,441,110.30498695373535,12.523143768310547,,3.0744619369506836,0.0,12.456193923950195,12.35527229309082,0.3752404451370239
30,MetaDrive-Tut-5Env-v0,278,101.37842250451838,32080,449,115.35867595672607,13.755160331726074,,6.426338195800781,0.0,13.758918762207031,13.68719482421875,0.37609344720840454
31,MetaDrive-Tut-5Env-v0,274,107.07956358342362,33126,458,120.47201347351074,15.063474655151367,,2.214695453643799,0.0,15.061847686767578,14.914487838745117,0.42436331510543823
32,MetaDrive-Tut-5Env-v0,272,113.61566798928001,34123,466,125.3910219669342,17.158960342407227,-17.295808792114258,4.808699131011963,0.0,16.861080169677734,17.030479431152344,0.5504873394966125
33,MetaDrive-Tut-5Env-v0,269,120.27867272235922,35116,474,130.23843836784363,18.250171661376953,,2.06390380859375,0.0,18.480541229248047,18.61046600341797,0.4402392506599426
34,MetaDrive-Tut-5Env-v0,265,126.5659913824568,36133,481,135.87647247314453,19.588008880615234,-20.12438201904297,4.9530134201049805,0.0,19.162147521972656,19.076950073242188,0.534503698348999
