,log_dir,frame_per_second,episode_reward,policy_loss,entropy,value_loss,total_loss,grad_norm,adv_mean,ratio,total_steps,total_episodes,iteration,total_time,success_rate
0,/home/acthegreat/work/CS260R/Assignment 3/MetaDrive-Tut-5Env-v0/ppo,1758,8.787001732857304,-0.010329565710913485,2.7844617220071646,0.07164516448497008,0.06131559909225848,1.1508447235211348,0.19260752201080322,1.0007380422109213,20000,15,0,11.37407636642456,0.0
1,/home/acthegreat/work/CS260R/Assignment 3/MetaDrive-Tut-5Env-v0/ppo,1734,12.515313719481401,-0.015495015716610046,2.730141114882934,0.0721215146020628,0.05662649887231871,1.2988107762275598,0.2594543397426605,1.0006094827865943,40000,39,1,23.05506181716919,0.0
2,/home/acthegreat/work/CS260R/Assignment 3/MetaDrive-Tut-5Env-v0/ppo,1718,15.043944684917397,-0.013637060046387024,2.6469946971306433,0.17718864601965134,0.16355158605565054,1.4679904029155388,0.34885117411613464,0.9999464716666784,60000,63,2,34.90671372413635,0.0
3,/home/acthegreat/work/CS260R/Assignment 3/MetaDrive-Tut-5Env-v0/ppo,1665,17.522167432792784,-0.008231035510424334,2.569141654479198,0.49052134473354386,0.4822903106642815,1.9175735671168719,0.4255983233451843,0.9981134275595347,80000,97,3,48.035069942474365,0.0
4,/home/acthegreat/work/CS260R/Assignment 3/MetaDrive-Tut-5Env-v0/ppo,1661,22.33900566712766,-0.008898890641135856,2.470244112992898,0.8998279358714055,0.8909290472666422,2.7459571786797965,0.6503670811653137,1.000308590133985,100000,138,4,60.20284104347229,0.0
5,/home/acthegreat/work/CS260R/Assignment 3/MetaDrive-Tut-5Env-v0/ppo,1618,21.538236091300345,-0.005938970464735459,2.387190023752359,1.8689281061673775,1.8629891336728366,3.8773587132875735,0.6763029098510742,1.0000089209813339,120000,206,5,74.15805792808533,0.0
6,/home/acthegreat/work/CS260R/Assignment 3/MetaDrive-Tut-5Env-v0/ppo,1614,20.612979474866556,-0.0057956357050734835,2.34695027424739,3.186761032923674,3.180965393781662,5.771101389787136,0.8014388680458069,1.000234986192141,140000,297,6,86.7128574848175,0.0
7,/home/acthegreat/work/CS260R/Assignment 3/MetaDrive-Tut-5Env-v0/ppo,1597,24.23225488221992,-0.007140750744236777,2.2970445666557704,3.565237662425408,3.558096915941972,9.13845484608259,0.9437026977539062,1.001115817290086,160000,385,7,100.13248896598816,0.0
8,/home/acthegreat/work/CS260R/Assignment 3/MetaDrive-Tut-5Env-v0/ppo,1585,24.250553756961143,-0.007506993196259897,2.2131635033167325,5.783440449604622,5.775933466813503,16.787217462062834,1.1364725828170776,0.9993624419738085,180000,500,8,113.56061577796936,0.0
9,/home/acthegreat/work/CS260R/Assignment 3/MetaDrive-Tut-5Env-v0/ppo,1563,38.65505358547729,-0.006613029323769017,2.12151244756503,8.246102088536972,8.239489061404496,21.19140883347927,1.8639304637908936,0.9984928363408798,200000,605,9,127.90742802619934,0.0
10,/home/acthegreat/work/CS260R/Assignment 3/MetaDrive-Tut-5Env-v0/ppo,1541,58.73072154868405,-0.005926642429011946,2.0099929690361025,12.14002504165356,12.134098406938406,34.80661252584213,2.8262274265289307,0.9999386208943831,220000,705,10,142.76273155212402,0.0
11,/home/acthegreat/work/CS260R/Assignment 3/MetaDrive-Tut-5Env-v0/ppo,1513,59.819372635191,-0.00443593091928424,1.9321803348186688,19.453588165381017,19.449152218989838,48.45588698753944,2.9795472621917725,0.9995847640893398,240000,822,11,158.58611273765564,0.0
12,/home/acthegreat/work/CS260R/Assignment 3/MetaDrive-Tut-5Env-v0/ppo,1497,79.73578485773716,-0.0055637797507911155,1.8565344873147134,21.06158331479782,21.056019523816232,72.3044873836713,3.2538769245147705,1.0001380807314164,260000,917,12,173.6197476387024,0.0
13,/home/acthegreat/work/CS260R/Assignment 3/MetaDrive-Tut-5Env-v0/ppo,1483,83.1648566110693,-0.008159728121991531,1.7861234486103057,31.653029026129307,31.644869309205276,111.38672229082157,3.515354633331299,0.999703352420758,280000,1029,13,188.71331405639648,0.0
14,/home/acthegreat/work/CS260R/Assignment 3/MetaDrive-Tut-5Env-v0/ppo,1468,90.98818541809905,-0.007231901672620995,1.7410622410285168,35.011815650646504,35.00458379158607,149.64933792016444,3.1751315593719482,0.9996983623657472,300000,1137,14,204.24733066558838,0.0
15,/home/acthegreat/work/CS260R/Assignment 3/MetaDrive-Tut-5Env-v0/ppo,1456,106.34007698883234,-0.00646340646661627,1.6449307016837291,40.40959089719332,40.40312744531876,220.08226958054763,3.477844476699829,1.000924390554428,320000,1245,15,219.77560877799988,0.0
