,log_dir,frame_per_second,episode_reward,total_steps,total_episodes,total_time,target_q,actor_loss,critic_loss,success_rate,current_q1,reward
0,MetaDrive-Tut-Hard-v0,749,12.122824025712692,1999,2,2.6666791439056396,,,,0.0,,
1,MetaDrive-Tut-Hard-v0,705,11.80280405849443,2999,3,4.248999357223511,,,,0.0,,
2,MetaDrive-Tut-Hard-v0,716,8.635026783994954,3404,4,4.752500057220459,,,,0.0,,
3,MetaDrive-Tut-Hard-v0,675,9.16844980513704,4404,5,6.515681505203247,,,,0.0,,
4,MetaDrive-Tut-Hard-v0,663,9.405672429286783,5404,6,8.149602890014648,,,,0.0,,
5,MetaDrive-Tut-Hard-v0,634,9.680788931314003,6404,7,10.093651056289673,,,,0.0,,
6,MetaDrive-Tut-Hard-v0,607,10.068141293575412,7404,8,12.197300434112549,,,,0.0,,
7,MetaDrive-Tut-Hard-v0,606,10.130886694196594,8404,9,13.860943794250488,,,,0.0,,
8,MetaDrive-Tut-Hard-v0,582,10.42800823054719,9404,10,16.13806390762329,,,,0.0,,
9,MetaDrive-Tut-Hard-v0,575,10.159041185501547,10035,11,17.448052406311035,0.01521604135632515,-0.02304922044277191,0.0002532296348363161,0.0,0.01419125683605671,0.010715728625655174
10,MetaDrive-Tut-Hard-v0,439,-0.08150687456000964,11395,58,25.926596879959106,0.09068386256694794,-0.0831596702337265,0.00416728388518095,0.0,0.07105754315853119,0.02093518152832985
11,MetaDrive-Tut-Hard-v0,404,-0.22695338164230477,12112,66,29.91138005256653,0.13520193099975586,-0.14579415321350098,0.004665719345211983,0.0,0.14648652076721191,0.021954545751214027
12,MetaDrive-Tut-Hard-v0,369,-0.630630379042762,13357,81,36.156864166259766,0.18901702761650085,-0.25115275382995605,0.10938815772533417,0.0,0.20054426789283752,0.01054204162210226
13,MetaDrive-Tut-Hard-v0,353,-0.484191397297702,14357,82,40.62924885749817,0.3607912063598633,-0.3918038308620453,0.0973733440041542,0.0,0.3748082220554352,-0.01985986717045307
14,MetaDrive-Tut-Hard-v0,333,-0.40004525591314205,15357,83,45.99245738983154,0.5358381271362305,-0.6077629327774048,0.003267501015216112,0.0,0.5430734157562256,0.02244981750845909
15,MetaDrive-Tut-Hard-v0,324,-0.33043267400736653,16357,84,50.45746660232544,0.6162420511245728,-0.6960216164588928,0.1003710925579071,0.0,0.647742748260498,0.002755492925643921
16,MetaDrive-Tut-Hard-v0,314,-0.21732828357794678,17357,85,55.163743019104004,0.7621535062789917,-0.8101300001144409,0.07159583270549774,0.0,0.783988356590271,0.00038404762744903564
17,MetaDrive-Tut-Hard-v0,304,-0.14914165269878188,18357,86,60.27834987640381,0.8697939515113831,-0.9218405485153198,0.029467089101672173,0.0,0.8584868311882019,0.0009792139753699303
18,MetaDrive-Tut-Hard-v0,292,0.3422375581395017,19788,90,67.755197763443,1.0473740100860596,-1.0923457145690918,0.011342554353177547,0.0,1.0733909606933594,0.021776219829916954
19,MetaDrive-Tut-Hard-v0,290,0.34480478867894193,20151,91,69.38976645469666,1.1439738273620605,-1.1813032627105713,0.1281435638666153,0.0,1.1592991352081299,0.003969935700297356
20,MetaDrive-Tut-Hard-v0,281,1.2649324210853214,21069,93,74.9549503326416,1.1602942943572998,-1.2502987384796143,0.11254268884658813,0.0,1.21840500831604,-0.020345523953437805
21,MetaDrive-Tut-Hard-v0,273,1.3430578257858354,22069,94,80.69537210464478,1.3321356773376465,-1.3451499938964844,0.003559514181688428,0.0,1.3217637538909912,0.018996547907590866
22,MetaDrive-Tut-Hard-v0,266,1.4275209462257268,23069,95,86.55192613601685,1.4729423522949219,-1.5484267473220825,0.0045593660324811935,0.0,1.4801390171051025,0.023108255118131638
23,MetaDrive-Tut-Hard-v0,261,2.039056432619777,24069,96,92.08896493911743,1.5986287593841553,-1.6916459798812866,0.006010101176798344,0.0,1.6553531885147095,0.01540464162826538
24,MetaDrive-Tut-Hard-v0,257,2.629688815151743,25145,98,97.58605217933655,1.88299560546875,-1.9559556245803833,0.03295781835913658,0.0,1.8974523544311523,0.02041757106781006
25,MetaDrive-Tut-Hard-v0,256,2.655529099482524,26145,99,102.01728439331055,2.0117475986480713,-2.0609378814697266,0.09829206019639969,0.0,2.024181365966797,0.001171603798866272
26,MetaDrive-Tut-Hard-v0,253,2.475048429127232,27349,102,107.86049270629883,2.137829303741455,-2.272002696990967,0.14415991306304932,0.0,2.200670003890991,-0.018296729773283005
27,MetaDrive-Tut-Hard-v0,250,2.422213311248924,28349,103,113.24650430679321,2.4993906021118164,-2.6101512908935547,0.22607162594795227,0.0,2.5486035346984863,-0.0148248802870512
28,MetaDrive-Tut-Hard-v0,248,2.4715987350386364,29349,104,118.2264187335968,2.6747689247131348,-2.739865779876709,0.006021659821271896,0.0,2.6537013053894043,0.02526959404349327
29,MetaDrive-Tut-Hard-v0,244,2.871316392911424,30349,105,124.04957890510559,2.7927985191345215,-2.89020037651062,0.010870769619941711,0.0,2.8191919326782227,0.024342510849237442
30,MetaDrive-Tut-Hard-v0,244,2.8385839467604863,31349,106,128.34355640411377,3.0801563262939453,-3.1737654209136963,0.005749792326241732,0.0,3.0867245197296143,0.022101540118455887
31,MetaDrive-Tut-Hard-v0,241,5.995587918349513,32562,108,134.76253533363342,3.2657392024993896,-3.3701376914978027,0.013010098598897457,0.0,3.218585968017578,0.027992984279990196
32,MetaDrive-Tut-Hard-v0,239,9.067670308324532,33361,111,139.4644250869751,3.7399168014526367,-3.800175666809082,0.11236168444156647,0.0,3.664247512817383,0.02498054690659046
33,MetaDrive-Tut-Hard-v0,236,12.865463896999236,34091,113,144.20387172698975,4.1269330978393555,-4.227017879486084,0.23366416990756989,0.0,4.097082138061523,0.039320364594459534
34,MetaDrive-Tut-Hard-v0,233,19.861689031064454,35219,116,151.14022994041443,4.773229598999023,-4.923704147338867,0.010805398225784302,0.01,4.764050483703613,0.05483822897076607
35,MetaDrive-Tut-Hard-v0,230,26.215327359406842,36158,119,157.03871130943298,5.646989345550537,-5.721108913421631,0.6682856678962708,0.02,5.603383541107178,0.11310087889432907
