,log_dir,frame_per_second,episode_reward,total_steps,total_episodes,total_time,target_q,actor_loss,critic_loss,success_rate,current_q1,current_q2,reward
0,MetaDrive-Tut-Hard-v0,746,5.695978498950187,1269,2,1.6993482112884521,,,,0.0,,,
1,MetaDrive-Tut-Hard-v0,796,7.264904039002549,2270,3,2.849858522415161,,,,0.0,,,
2,MetaDrive-Tut-Hard-v0,713,8.43628046924176,3271,4,4.585117816925049,,,,0.0,,,
3,MetaDrive-Tut-Hard-v0,713,8.432132069957671,4272,5,5.985069513320923,,,,0.0,,,
4,MetaDrive-Tut-Hard-v0,730,9.123414191763873,5273,6,7.220994710922241,,,,0.0,,,
5,MetaDrive-Tut-Hard-v0,739,7.252880974632085,6574,8,8.89169979095459,,,,0.0,,,
6,MetaDrive-Tut-Hard-v0,722,7.4836154234363255,7575,9,10.481582403182983,,,,0.0,,,
7,MetaDrive-Tut-Hard-v0,727,7.792155007675804,8576,10,11.794721603393555,,,,0.0,,,
8,MetaDrive-Tut-Hard-v0,743,8.050525618518183,9577,11,12.87869644165039,,,,0.0,,,
9,MetaDrive-Tut-Hard-v0,726,7.941757669977188,10047,12,13.832345247268677,0.013129672966897488,-0.02052149921655655,0.0009239563951268792,0.0,0.019507858902215958,0.0029849503189325333,0.011153506115078926
10,MetaDrive-Tut-Hard-v0,555,-0.1626592214709083,11003,57,19.823357582092285,0.03457171469926834,-0.034022290259599686,0.200792133808136,0.0,0.03557392209768295,0.03529752045869827,-0.0008414546027779579
11,MetaDrive-Tut-Hard-v0,468,-0.5026091266531565,12339,65,26.33484172821045,0.013628958724439144,-0.007806158624589443,0.35925254225730896,0.0,-0.016283854842185974,-0.00858602486550808,-0.018391728401184082
12,MetaDrive-Tut-Hard-v0,439,-0.48166825609459263,13138,71,29.9061598777771,0.027225149795413017,,0.37935560941696167,0.0,0.05473250523209572,0.05442912131547928,-0.0193085465580225
13,MetaDrive-Tut-Hard-v0,407,0.967746709693089,14014,92,34.35740637779236,0.09120053052902222,,0.12934204936027527,0.0,0.06695801019668579,0.04952596500515938,0.024769242852926254
14,MetaDrive-Tut-Hard-v0,378,3.6485607102273376,15044,120,39.76312780380249,0.20155516266822815,,0.754649817943573,0.0,0.3152320384979248,0.3165349066257477,-0.014950894750654697
15,MetaDrive-Tut-Hard-v0,355,8.213108491260602,16017,143,45.09314250946045,0.5687555074691772,-0.737439751625061,0.34690770506858826,0.0,0.5911802053451538,0.5819580554962158,0.06835276633501053
