,log_dir,frame_per_second,episode_reward,total_steps,total_episodes,total_time,target_q,actor_loss,critic_loss,success_rate,current_q1,reward
0,MetaDrive-Tut-Hard-v0,538,11.690508040084143,1999,2,3.7108733654022217,,,,0.0,,
1,MetaDrive-Tut-Hard-v0,505,11.251372510298745,2999,3,5.9311370849609375,,,,0.0,,
2,MetaDrive-Tut-Hard-v0,498,9.244509913164958,3928,4,7.87604284286499,,,,0.0,,
3,MetaDrive-Tut-Hard-v0,540,9.408526351288932,4928,5,9.110915660858154,,,,0.0,,
4,MetaDrive-Tut-Hard-v0,538,9.60921284083922,5928,6,11.00833797454834,,,,0.0,,
5,MetaDrive-Tut-Hard-v0,541,9.75679130852779,6928,7,12.804352760314941,,,,0.0,,
6,MetaDrive-Tut-Hard-v0,554,8.651727464202743,7497,8,13.520185947418213,,,,0.0,,
7,MetaDrive-Tut-Hard-v0,548,8.873864120815846,8497,9,15.482856512069702,,,,0.0,,
8,MetaDrive-Tut-Hard-v0,562,8.18241340910849,9878,11,17.562958240509033,,,,0.0,,
9,MetaDrive-Tut-Hard-v0,104,7.516188009902913,10027,12,95.60635924339294,0.017515134066343307,-0.6446641683578491,0.007603741250932217,0.0,0.015544816851615906,0.013981177471578121
10,MetaDrive-Tut-Hard-v0,107,-0.9901035304093311,11014,76,102.90218377113342,0.21361836791038513,-7.437810897827148,0.005403297487646341,0.0,0.2051931619644165,0.013981177471578121
11,MetaDrive-Tut-Hard-v0,110,-0.45211192682978807,12009,121,108.76311826705933,0.4453611373901367,-15.150629043579102,0.0044160159304738045,0.0,0.44558092951774597,0.013981177471578121
12,MetaDrive-Tut-Hard-v0,67,1.1610448118521475,13018,166,192.12077689170837,0.18706081807613373,-27.562355041503906,9.854365348815918,0.0,0.6670342683792114,-0.4635179936885834
13,MetaDrive-Tut-Hard-v0,70,-0.5783761781082906,14019,209,197.6854751110077,0.953485369682312,-46.80886459350586,8.111047744750977,0.0,1.1483192443847656,-0.29560473561286926
14,MetaDrive-Tut-Hard-v0,52,-0.3492814393864835,15048,245,284.44014954566956,0.46407848596572876,-69.8510513305664,16.87432098388672,0.0,1.4291889667510986,-0.9021130800247192
15,MetaDrive-Tut-Hard-v0,55,2.8574000387404443,16012,269,289.90114569664,0.5578792095184326,-82.90033721923828,17.266834259033203,0.0,1.534645438194275,-0.9893132448196411
16,MetaDrive-Tut-Hard-v0,57,8.869564086656647,17053,286,295.47692704200745,0.81646329164505,-100.3494873046875,12.653556823730469,0.0,1.7112728357315063,-0.9021130800247192
17,MetaDrive-Tut-Hard-v0,47,16.773718282713133,18086,297,382.5921173095703,2.2304317951202393,-129.38360595703125,24.300935745239258,0.0,3.13008713722229,-0.6061922907829285
18,MetaDrive-Tut-Hard-v0,49,27.168655205635798,19134,306,388.9166679382324,3.7435903549194336,-178.28466796875,26.315505981445312,0.0,4.411128520965576,-0.5299890041351318
19,MetaDrive-Tut-Hard-v0,41,36.78538521787475,20005,312,477.92377948760986,4.2319793701171875,-226.67849731445312,37.83670425415039,0.0,5.724776744842529,-0.8052901029586792
20,MetaDrive-Tut-Hard-v0,43,47.314882779747634,21082,320,483.7956750392914,6.304686546325684,-277.9322204589844,30.8415584564209,0.0,7.402642250061035,-0.5171796083450317
21,MetaDrive-Tut-Hard-v0,45,56.40024709979877,22067,329,489.39815521240234,7.668204307556152,-339.97222900390625,37.56957244873047,0.0,8.620345115661621,-0.6884967684745789
22,MetaDrive-Tut-Hard-v0,39,66.35581242096325,23067,339,581.977865934372,8.738019943237305,-395.89306640625,60.058753967285156,0.0,10.409082412719727,-0.7582070827484131
23,MetaDrive-Tut-Hard-v0,40,74.09646279750672,24034,350,587.2677080631256,11.26850700378418,-450.8427734375,68.75166320800781,0.0,12.77018928527832,-0.48277926445007324
24,MetaDrive-Tut-Hard-v0,36,82.59623706574594,25001,360,682.602208852768,12.601846694946289,-530.6873168945312,105.36190032958984,0.0,15.110038757324219,-0.460037499666214
25,MetaDrive-Tut-Hard-v0,37,92.47598901700567,26047,370,688.3479225635529,14.43267822265625,-591.671630859375,48.34720230102539,0.0,15.911561965942383,-0.48037052154541016
26,MetaDrive-Tut-Hard-v0,38,99.61325170643626,27016,380,693.8200423717499,15.724777221679688,-653.0372314453125,102.47947692871094,0.0,17.034042358398438,-0.27161523699760437
27,MetaDrive-Tut-Hard-v0,35,103.4373845363473,28005,388,793.3846316337585,18.039745330810547,-702.8331298828125,80.39317321777344,0.0,19.31529426574707,0.09809640049934387
28,MetaDrive-Tut-Hard-v0,36,109.0138570114441,29077,397,799.0252456665039,19.157962799072266,-825.8643188476562,131.16390991210938,0.01,20.77385139465332,-0.2986640930175781
29,MetaDrive-Tut-Hard-v0,34,110.22661454278979,30815,404,903.8745801448822,21.619098663330078,-932.5440673828125,171.11358642578125,0.01,24.343414306640625,-0.34424662590026855
30,MetaDrive-Tut-Hard-v0,35,110.74689292782996,31815,405,908.4794681072235,28.197559356689453,-1051.6136474609375,147.82545471191406,0.01,29.819190979003906,-0.14352035522460938
31,MetaDrive-Tut-Hard-v0,35,113.25719620140062,32313,406,911.3995594978333,26.313508987426758,-1075.889404296875,173.45706176757812,0.02,28.382770538330078,-0.24215242266654968
32,MetaDrive-Tut-Hard-v0,32,113.88029021693032,33180,410,1016.222446680069,26.379192352294922,-1128.43505859375,184.0016326904297,0.03,28.98690414428711,-0.16440823674201965
33,MetaDrive-Tut-Hard-v0,33,117.85291365255257,34348,413,1022.8947060108185,29.08336067199707,-1231.103759765625,214.34750366210938,0.06,31.32643699645996,-0.16440823674201965
34,MetaDrive-Tut-Hard-v0,31,121.8651607013562,35195,415,1131.1373190879822,31.748241424560547,-1351.9677734375,285.621826171875,0.08,35.0593376159668,-0.12322521209716797
35,MetaDrive-Tut-Hard-v0,31,123.08717886139333,36147,420,1136.6233768463135,33.72328567504883,-1436.526611328125,302.9037170410156,0.08,37.73168182373047,-0.12322521209716797
36,MetaDrive-Tut-Hard-v0,32,129.42215351625734,37110,422,1142.7479758262634,36.809234619140625,-1523.3826904296875,218.10482788085938,0.09,40.114662170410156,-0.2561001777648926
37,MetaDrive-Tut-Hard-v0,30,132.55607082521976,38002,426,1255.8768508434296,39.27783203125,-1587.16650390625,337.5942687988281,0.1,42.50765609741211,0.007056251168251038
38,MetaDrive-Tut-Hard-v0,30,138.74102887062097,39130,429,1262.8576250076294,37.61907196044922,-1637.8128662109375,376.6318664550781,0.13,41.25357437133789,-0.10358674079179764
39,MetaDrive-Tut-Hard-v0,29,145.66537066295768,40165,431,1380.089379787445,41.85222244262695,-1711.5250244140625,379.6302490234375,0.14,44.50224685668945,0.11294884979724884
40,MetaDrive-Tut-Hard-v0,29,145.71957682948738,41014,437,1385.2650575637817,45.71443176269531,-1766.2061767578125,338.1373596191406,0.15,48.82041931152344,0.32725974917411804
41,MetaDrive-Tut-Hard-v0,30,154.16988535371897,42392,441,1392.963905096054,42.68610382080078,-1865.0076904296875,578.139404296875,0.18,49.03295135498047,-0.15841379761695862
42,MetaDrive-Tut-Hard-v0,28,158.96444699890543,43854,443,1516.950499534607,44.751983642578125,-1783.2156982421875,371.6466064453125,0.19,47.973079681396484,-0.12169614434242249
43,MetaDrive-Tut-Hard-v0,29,162.20647954140526,44380,444,1520.569492816925,45.204795837402344,-1823.878662109375,376.82470703125,0.2,49.19379425048828,0.13834373652935028
44,MetaDrive-Tut-Hard-v0,27,164.6115140664372,45178,445,1644.0529704093933,50.524688720703125,-1983.485595703125,419.67230224609375,0.2,53.56121826171875,-0.09009396284818649
45,MetaDrive-Tut-Hard-v0,28,170.1033140829891,46364,449,1650.9486298561096,54.67593002319336,-2021.140380859375,380.0712890625,0.21,59.581092834472656,0.2997083365917206
46,MetaDrive-Tut-Hard-v0,28,175.4289333955334,47231,451,1656.1839895248413,54.88159942626953,-2035.4248046875,428.53997802734375,0.22,57.43549728393555,0.49924996495246887
47,MetaDrive-Tut-Hard-v0,26,177.17610710104367,48005,455,1783.960368156433,54.57648468017578,-2171.102294921875,562.940673828125,0.23,59.08134460449219,0.057495877146720886
48,MetaDrive-Tut-Hard-v0,27,180.49975650088197,49259,461,1791.879906654358,54.57448959350586,-2225.658447265625,456.2149963378906,0.23,58.77486038208008,0.21282580494880676
49,MetaDrive-Tut-Hard-v0,26,181.25968817360214,50007,465,1920.6585516929626,53.3988037109375,-2189.955078125,564.5153198242188,0.23,57.45838928222656,-0.07358157634735107
50,MetaDrive-Tut-Hard-v0,26,187.28062440629137,51083,467,1928.1241829395294,54.85550308227539,-2300.93408203125,639.5284423828125,0.24,60.50675964355469,0.25345683097839355
51,MetaDrive-Tut-Hard-v0,26,192.17575953962321,52155,471,1934.1550018787384,58.93810272216797,-2375.72998046875,467.0025634765625,0.26,63.703163146972656,0.0676979124546051
52,MetaDrive-Tut-Hard-v0,25,194.94904599073186,53099,474,2062.018262863159,64.03726196289062,-2477.154541015625,544.53857421875,0.27,67.8504409790039,0.29935017228126526
