,log_dir,frame_per_second,episode_reward,total_steps,total_episodes,total_time,target_q,actor_loss,critic_loss,success_rate,current_q1,reward
0,MetaDrive-Tut-Hard-v0,517,8.52595176925432,1858,2,3.5888617038726807,,,,0.0,,
1,MetaDrive-Tut-Hard-v0,562,8.33540999803591,2858,3,5.082047700881958,,,,0.0,,
2,MetaDrive-Tut-Hard-v0,567,8.845919386310026,3858,4,6.792357921600342,,,,0.0,,
3,MetaDrive-Tut-Hard-v0,538,9.529257005654168,4858,5,9.024732112884521,,,,0.0,,
4,MetaDrive-Tut-Hard-v0,533,9.834559684741697,5858,6,10.970410346984863,,,,0.0,,
5,MetaDrive-Tut-Hard-v0,552,10.398838564023748,6858,7,12.403712511062622,,,,0.0,,
6,MetaDrive-Tut-Hard-v0,569,10.596206141590113,7858,8,13.808868646621704,,,,0.0,,
7,MetaDrive-Tut-Hard-v0,566,9.595698262472403,8357,9,14.763730525970459,,,,0.0,,
8,MetaDrive-Tut-Hard-v0,591,9.697254316450744,9357,10,15.817497730255127,,,,0.0,,
9,MetaDrive-Tut-Hard-v0,106,9.268551183755655,10023,11,94.14825558662415,0.01837398298084736,-0.7865179777145386,0.006618601270020008,0.0,0.012338584288954735,0.01589316315948963
10,MetaDrive-Tut-Hard-v0,108,0.5412423612650135,11011,64,101.3631112575531,0.21422028541564941,-7.569365501403809,0.0036272252909839153,0.0,0.21236926317214966,0.01589316315948963
11,MetaDrive-Tut-Hard-v0,112,2.2576833767367015,12063,103,107.29944229125977,0.46047288179397583,-15.471321105957031,0.004363052546977997,0.0,0.4572707414627075,0.01606009155511856
12,MetaDrive-Tut-Hard-v0,67,2.4253698898980334,13027,145,192.53758907318115,0.5281269550323486,-31.45732879638672,7.056399345397949,0.0,0.8875623345375061,-0.23962634801864624
13,MetaDrive-Tut-Hard-v0,70,-0.6781022486813665,14004,190,198.1350817680359,0.8832615613937378,-56.35150909423828,9.780743598937988,0.0,1.477294683456421,-0.5201165676116943
14,MetaDrive-Tut-Hard-v0,52,-2.8836149211873647,15020,235,284.33638644218445,1.4118850231170654,-89.48004913330078,24.828628540039062,0.0,2.3291592597961426,-0.800858736038208
15,MetaDrive-Tut-Hard-v0,55,-2.85120580181183,16023,285,290.229948759079,1.102571964263916,-81.0073013305664,19.023849487304688,0.0,1.9430296421051025,-0.7290569543838501
16,MetaDrive-Tut-Hard-v0,57,2.6439108765482446,17120,302,296.13694405555725,1.3503327369689941,-102.30549621582031,16.52832794189453,0.0,2.2388813495635986,-0.7855961322784424
17,MetaDrive-Tut-Hard-v0,46,10.009143472577447,18114,311,386.58174204826355,2.6611592769622803,-134.34823608398438,22.90706443786621,0.0,3.305931568145752,-0.4761861562728882
18,MetaDrive-Tut-Hard-v0,48,16.98590036805549,19050,320,391.8041341304779,3.5453104972839355,-161.02273559570312,25.624652862548828,0.0,4.095025539398193,-0.4761861562728882
19,MetaDrive-Tut-Hard-v0,41,24.258403471701808,20035,331,487.4913213253021,4.544306755065918,-201.53941345214844,24.94744110107422,0.0,5.6097092628479,-0.595581591129303
20,MetaDrive-Tut-Hard-v0,42,33.90943309636196,21069,342,493.2588448524475,5.467939376831055,-248.9681854248047,29.242229461669922,0.0,6.600861549377441,-0.7051540017127991
21,MetaDrive-Tut-Hard-v0,44,43.46892514143312,22071,352,499.04857087135315,6.945891380310059,-297.1403503417969,39.10060119628906,0.0,8.185970306396484,-0.7803859710693359
22,MetaDrive-Tut-Hard-v0,38,52.51415980472722,23062,361,594.0891139507294,10.101310729980469,-396.012451171875,44.479209899902344,0.0,11.227895736694336,-0.4315429925918579
23,MetaDrive-Tut-Hard-v0,40,63.12115124675556,24069,370,600.2799708843231,11.549177169799805,-490.1090393066406,108.24825286865234,0.0,14.037107467651367,-0.45926421880722046
24,MetaDrive-Tut-Hard-v0,36,72.45236853702417,25081,378,695.3783891201019,15.916582107543945,-629.91845703125,100.04928588867188,0.0,17.708824157714844,-0.3766423463821411
25,MetaDrive-Tut-Hard-v0,37,82.34232513236736,26229,381,703.0244481563568,17.991947174072266,-704.7694702148438,161.72598266601562,0.02,20.70986557006836,-0.25010329484939575
26,MetaDrive-Tut-Hard-v0,38,90.3696366305965,27190,385,708.5016162395477,22.036052703857422,-838.8665771484375,156.216796875,0.03,24.70197105407715,-0.10184013843536377
27,MetaDrive-Tut-Hard-v0,34,100.29270629776634,28291,389,808.4001660346985,19.781475067138672,-868.9320678710938,150.606689453125,0.04,22.49437141418457,-0.41024231910705566
28,MetaDrive-Tut-Hard-v0,36,109.38087481552928,29329,393,814.6916465759277,23.71880531311035,-997.949462890625,127.22561645507812,0.05,26.233657836914062,-0.3591664731502533
29,MetaDrive-Tut-Hard-v0,32,115.53943560662786,30089,397,914.462807893753,21.672657012939453,-1021.6404418945312,296.1982421875,0.05,25.71044921875,-0.26734691858291626
30,MetaDrive-Tut-Hard-v0,33,118.7888055741605,31042,402,919.8628945350647,24.022226333618164,-1097.8148193359375,198.82601928710938,0.05,27.03089714050293,-0.14026789367198944
31,MetaDrive-Tut-Hard-v0,34,124.81145365273836,32189,408,926.4048688411713,25.789955139160156,-1205.77490234375,311.2249755859375,0.06,30.215866088867188,-0.47415000200271606
32,MetaDrive-Tut-Hard-v0,31,130.0321062491913,33174,413,1038.2459516525269,32.60824203491211,-1286.1695556640625,298.6770935058594,0.07,35.697601318359375,-0.10026508569717407
33,MetaDrive-Tut-Hard-v0,32,134.90254559101294,34191,417,1044.827671289444,35.77037811279297,-1423.1209716796875,280.676025390625,0.08,38.48326873779297,0.11265295743942261
34,MetaDrive-Tut-Hard-v0,30,139.9753291926523,35167,422,1164.8553977012634,32.784080505371094,-1448.48193359375,345.8804931640625,0.09,37.95351791381836,-0.7662007212638855
35,MetaDrive-Tut-Hard-v0,30,142.42037030791096,36016,429,1170.6434807777405,38.82286071777344,-1519.291748046875,305.0059814453125,0.09,41.22494888305664,-0.10991081595420837
36,MetaDrive-Tut-Hard-v0,31,147.79369116379684,37112,434,1179.1633005142212,40.04631423950195,-1629.5155029296875,261.2320556640625,0.09,42.54412841796875,-0.1992136836051941
37,MetaDrive-Tut-Hard-v0,29,152.46117663500746,38057,437,1308.5293145179749,38.75518035888672,-1686.5712890625,392.2667236328125,0.11,43.156982421875,-0.3995923399925232
38,MetaDrive-Tut-Hard-v0,29,159.39558461842637,39073,440,1314.9848356246948,40.124549865722656,-1673.63671875,402.90826416015625,0.12,45.28083038330078,-0.11089228838682175
39,MetaDrive-Tut-Hard-v0,27,163.75109993346587,40251,444,1458.2724883556366,36.70222473144531,-1727.42333984375,663.7169799804688,0.14,41.539363861083984,-0.10218559950590134
40,MetaDrive-Tut-Hard-v0,28,167.76324130372615,41095,447,1464.0881190299988,39.537391662597656,-1819.8592529296875,433.43939208984375,0.15,44.43120193481445,0.13850581645965576
