,log_dir,frame_per_second,episode_reward,total_steps,total_episodes,total_time,actor_loss,critic_loss,target_q,current_q1,current_q2,reward
35,Pendulum-v1,386,-176.6886780322813,36199,181,93.64352750778198,43.50828552246094,176.9715576171875,-43.85382843017578,-44.54703903198242,-44.51911163330078,-1.7435224056243896
36,Pendulum-v1,386,-179.24303348478313,37199,186,96.29227781295776,48.104923248291016,7.979002952575684,-49.672298431396484,-49.55254364013672,-49.689781188964844,-1.778735637664795
37,Pendulum-v1,385,-175.93440320796608,38199,191,99.00893902778625,47.36968231201172,8.654800415039062,-48.54113006591797,-48.988311767578125,-48.56525421142578,-1.8884779214859009
38,Pendulum-v1,385,-172.41682188672436,39199,196,101.65753960609436,45.500953674316406,6.29947566986084,-46.86543655395508,-47.29351806640625,-47.07809066772461,-1.8337125778198242
39,Pendulum-v1,385,-170.34453609911117,40199,201,104.31105160713196,49.27582550048828,214.82418823242188,-49.77232360839844,-50.558990478515625,-50.48693084716797,-2.062857151031494
40,Pendulum-v1,385,-169.66401233714112,41199,206,106.9893651008606,46.359046936035156,6.440998077392578,-47.88346862792969,-47.936798095703125,-48.09120178222656,-1.759145975112915
41,Pendulum-v1,384,-164.80279669230617,42199,211,109.66288709640503,42.13157653808594,8.071830749511719,-43.40040969848633,-43.044166564941406,-43.06971740722656,-1.7045197486877441
42,Pendulum-v1,384,-169.92665726641746,43199,216,112.39850759506226,49.09562301635742,5.819250583648682,-50.136512756347656,-49.957435607910156,-50.25315856933594,-2.0092804431915283
43,Pendulum-v1,383,-169.1107404450212,44199,221,115.14820790290833,45.20210266113281,450.18939208984375,-45.75178527832031,-46.44861602783203,-46.477561950683594,-1.5924606323242188
44,Pendulum-v1,383,-169.65988171961692,45199,226,117.75942730903625,41.96954345703125,170.16519165039062,-42.179744720458984,-43.144935607910156,-43.22273254394531,-1.5952720642089844
45,Pendulum-v1,383,-167.68732495930692,46199,231,120.34466910362244,40.38770294189453,6.002219200134277,-41.432037353515625,-41.564788818359375,-41.619659423828125,-1.639870524406433
46,Pendulum-v1,383,-171.60120240542906,47199,236,122.9554009437561,38.41101837158203,3.426149368286133,-40.01918029785156,-39.86225509643555,-39.544532775878906,-1.5580862760543823
47,Pendulum-v1,383,-171.76050719376056,48199,241,125.57676768302917,35.31782150268555,4.867984294891357,-36.13533020019531,-36.261558532714844,-36.24315643310547,-1.3786234855651855
48,Pendulum-v1,383,-174.46824176182673,49199,246,128.24361872673035,42.969757080078125,8.723233222961426,-44.42256546020508,-44.12770080566406,-44.05931091308594,-1.871436595916748
