,log_dir,frame_per_second,episode_reward,total_steps,total_episodes,total_time,target_q,actor_loss,critic_loss,success_rate,current_q1,current_q2,reward
0,MetaDrive-Tut-1Env-v0,505,8.146224245056063,1665,2,3.2954752445220947,,,,0.0,,,
1,MetaDrive-Tut-1Env-v0,486,9.474440220118048,2666,3,5.481945276260376,,,,0.0,,,
2,MetaDrive-Tut-1Env-v0,487,10.288092729575535,3667,4,7.525609493255615,,,,0.0,,,
3,MetaDrive-Tut-1Env-v0,499,8.785471966173457,4201,5,8.414916753768921,,,,0.0,,,
4,MetaDrive-Tut-1Env-v0,505,8.072960450937876,5072,6,10.027846574783325,,,,0.0,,,
5,MetaDrive-Tut-1Env-v0,501,8.47810358996288,6073,7,12.111171245574951,,,,0.0,,,
6,MetaDrive-Tut-1Env-v0,492,9.148395888768142,7074,8,14.352391958236694,,,,0.0,,,
7,MetaDrive-Tut-1Env-v0,492,9.41933215425567,8075,9,16.384760856628418,,,,0.0,,,
8,MetaDrive-Tut-1Env-v0,489,9.941768942325874,9076,10,18.531776666641235,,,,0.0,,,
9,MetaDrive-Tut-1Env-v0,476,10.84809858066864,10064,11,21.139407634735107,0.015228787437081337,,0.001122152665629983,0.0,0.018604733049869537,0.019001342356204987,0.013701587915420532
10,MetaDrive-Tut-1Env-v0,421,0.4153637436152012,11015,54,26.14888334274292,0.05978156626224518,-0.07253184914588928,0.2051258385181427,0.0,0.06895355135202408,0.07248950004577637,0.004029205068945885
11,MetaDrive-Tut-1Env-v0,395,-0.3371959918398089,12007,69,30.387187242507935,0.05346766859292984,-0.06736506521701813,0.3412913680076599,0.0,0.0608246773481369,0.07279207557439804,-0.018539346754550934
12,MetaDrive-Tut-1Env-v0,371,-1.120831399809062,13030,97,35.06264042854309,0.12740978598594666,,0.20806601643562317,0.0,0.14427296817302704,0.14143848419189453,0.004814998246729374
13,MetaDrive-Tut-1Env-v0,355,-1.381583023580858,14356,102,40.37478566169739,0.15883392095565796,,0.21950876712799072,0.0,0.14295046031475067,0.1510894000530243,-0.018146637827157974
14,MetaDrive-Tut-1Env-v0,347,-1.479600157623067,15357,103,44.23262000083923,0.14002442359924316,-0.2306833416223526,0.6171823740005493,0.0,0.17788395285606384,0.17542219161987305,-0.05431732162833214
15,MetaDrive-Tut-1Env-v0,339,-1.585515695268445,16358,104,48.16166925430298,0.28612369298934937,,0.3153349757194519,0.0,0.29673996567726135,0.2912712097167969,-0.015171928331255913
16,MetaDrive-Tut-1Env-v0,332,-1.593337249368947,17359,105,52.188573598861694,0.3214656114578247,-0.3878319263458252,0.009913529269397259,0.0,0.3304641842842102,0.3318842947483063,0.02501075342297554
17,MetaDrive-Tut-1Env-v0,326,-1.6157854740623332,18360,106,56.242767095565796,0.2534835934638977,,0.0065667228773236275,0.0,0.2658438980579376,0.25922834873199463,-0.0028957370668649673
18,MetaDrive-Tut-1Env-v0,321,-1.7013329591650057,19361,107,60.20370149612427,0.33893531560897827,-0.4003991484642029,0.005060822237282991,0.0,0.3563045263290405,0.35415130853652954,0.023590978235006332
19,MetaDrive-Tut-1Env-v0,316,-1.8167340640247083,20362,108,64.36629891395569,0.32707712054252625,,0.024357080459594727,0.0,0.2828628420829773,0.2793140113353729,0.020073458552360535
20,MetaDrive-Tut-1Env-v0,312,-1.908771713545565,21363,109,68.40499711036682,0.3604203164577484,-0.4177357256412506,0.20601752400398254,0.0,0.36778146028518677,0.36450034379959106,-0.01890522614121437
21,MetaDrive-Tut-1Env-v0,308,-2.030384664143129,22364,110,72.43496990203857,0.39478105306625366,,0.019593248143792152,0.0,0.43635571002960205,0.4365610182285309,0.00282885879278183
22,MetaDrive-Tut-1Env-v0,305,-2.205002198647742,23365,111,76.50033617019653,0.26197350025177,-0.30768489837646484,0.014520293101668358,0.0,0.2862982749938965,0.28035038709640503,0.016079332679510117
23,MetaDrive-Tut-1Env-v0,303,-2.20804769783763,24366,112,80.33843803405762,0.33205586671829224,,0.02229630947113037,0.0,0.287224143743515,0.29216888546943665,0.017470479011535645
24,MetaDrive-Tut-1Env-v0,301,-2.1838310981371514,25367,113,84.25641751289368,0.2741875648498535,-0.3034932017326355,0.009283741936087608,0.0,0.25337329506874084,0.25240617990493774,-0.003828386776149273
25,MetaDrive-Tut-1Env-v0,299,-2.14546948085129,26368,114,88.1736249923706,0.27248430252075195,,0.012897578999400139,0.0,0.27280330657958984,0.2740081548690796,-0.002233689185231924
26,MetaDrive-Tut-1Env-v0,297,-2.1022583036500664,27369,115,92.08723831176758,0.44361412525177,-0.5033116340637207,0.22987952828407288,0.0,0.48232531547546387,0.48400434851646423,-0.002975067123770714
27,MetaDrive-Tut-1Env-v0,295,-2.053259537846653,28370,116,95.94462394714355,0.26988133788108826,,0.09565125405788422,0.0,0.2472849190235138,0.25448912382125854,-0.02768591232597828
28,MetaDrive-Tut-1Env-v0,294,-2.003929332475565,29371,117,99.7773106098175,0.46072670817375183,-0.45444029569625854,0.011320829391479492,0.0,0.41293227672576904,0.41850799322128296,0.01599596068263054
29,MetaDrive-Tut-1Env-v0,293,-1.9565116594274605,30372,118,103.6573634147644,0.4769091010093689,,0.07727797329425812,0.0,0.4388245940208435,0.4460332691669464,-0.04094293713569641
