,log_dir,frame_per_second,episode_reward,policy_loss,entropy,value_loss,total_loss,grad_norm,adv_mean,ratio,total_steps,total_episodes,iteration,total_time,success_rate
0,/home/acthegreat/work/CS260R/Assignment 3/MetaDrive-Tut-Hard-v0/ppo,1385,7.5064596432116355,-0.0070353028501789925,2.793920344572801,0.10419089704608687,0.09715559377979774,1.0282799993187954,0.18287751078605652,1.0002213857112787,20000,17,0,14.43392825126648,0.0
1,/home/acthegreat/work/CS260R/Assignment 3/MetaDrive-Tut-Hard-v0/ppo,1401,10.14900286660941,-0.009311003698549496,2.7392577877411477,0.11596094720208874,0.10664994347040566,1.1734446356693904,0.21532665193080902,1.000656828437096,40000,43,1,28.537732362747192,0.0
2,/home/acthegreat/work/CS260R/Assignment 3/MetaDrive-Tut-Hard-v0/ppo,1440,11.12176758593542,-0.008998326730962174,2.6556035946577023,0.21167732740824038,0.2026790012775634,1.4123944770449246,0.2569824457168579,0.9996643745746367,60000,71,2,41.666179180145264,0.0
3,/home/acthegreat/work/CS260R/Assignment 3/MetaDrive-Tut-Hard-v0/ppo,1422,13.154541891489096,-0.008298331702677294,2.5670135002869827,0.3268185386672998,0.31852020780042484,1.7939266136441476,0.328398197889328,0.997846195101738,80000,101,3,56.24492955207825,0.0
4,/home/acthegreat/work/CS260R/Assignment 3/MetaDrive-Tut-Hard-v0/ppo,1432,17.442944642991918,-0.010470989591274888,2.4907411801509367,0.539089793444444,0.5286188021421624,2.327108326898171,0.4266337752342224,0.9999200203479864,100000,136,4,69.7895278930664,0.0
5,/home/acthegreat/work/CS260R/Assignment 3/MetaDrive-Tut-Hard-v0/ppo,1393,21.12517519096826,-0.007483325118366151,2.324425892340831,1.243762817673194,1.236279490360847,3.6675808425133045,0.6865552663803101,1.0004801355111292,120000,189,5,86.10587668418884,0.0
6,/home/acthegreat/work/CS260R/Assignment 3/MetaDrive-Tut-Hard-v0/ppo,1351,20.312549104214582,-0.00836436627790905,2.2448753745127945,2.558469183781208,2.550104817060324,6.34302710951903,0.891851544380188,1.0000613812452708,140000,273,6,103.56347012519836,0.0
7,/home/acthegreat/work/CS260R/Assignment 3/MetaDrive-Tut-Hard-v0/ppo,1343,28.2532450245012,-0.009709971315131929,2.2122857213020324,2.9125790767180613,2.902869107784369,10.292856587966282,1.2502809762954712,1.0017594560598715,160000,340,7,119.10110425949097,0.0
8,/home/acthegreat/work/CS260R/Assignment 3/MetaDrive-Tut-Hard-v0/ppo,1319,38.96240389326631,-0.007073526556054369,2.0487535366645226,5.829839531274942,5.822766003547571,18.519727197060217,1.8724331855773926,0.9995011135553702,180000,429,8,136.38806772232056,0.0
9,/home/acthegreat/work/CS260R/Assignment 3/MetaDrive-Tut-Hard-v0/ppo,1316,52.435127214730954,-0.0067157170186058065,1.9777071873346965,7.705525370744558,7.698809662232033,27.030416186039265,2.1995463371276855,0.9992631955024524,200000,510,9,151.8851499557495,0.0
10,/home/acthegreat/work/CS260R/Assignment 3/MetaDrive-Tut-Hard-v0/ppo,1311,66.3288004820237,-0.005221561048155985,1.8627308876086504,13.710336578197968,13.70511499979557,38.885872526657884,3.2136151790618896,1.0007797745557931,220000,600,10,167.69491052627563,0.0
11,/home/acthegreat/work/CS260R/Assignment 3/MetaDrive-Tut-Hard-v0/ppo,1303,89.80029123798101,-0.0062246064428622145,1.7933389966304485,17.586898353772284,17.580673739848994,56.67106742247557,3.5401577949523926,1.0001772691806157,240000,690,11,184.0567820072174,0.04
12,/home/acthegreat/work/CS260R/Assignment 3/MetaDrive-Tut-Hard-v0/ppo,1300,113.49303193249345,-0.002980818238873512,1.7300571576142922,22.43506768666781,22.432086874888494,73.7451271656232,3.9623303413391113,0.9999272044652547,260000,763,12,199.96180415153503,0.04
13,/home/acthegreat/work/CS260R/Assignment 3/MetaDrive-Tut-Hard-v0/ppo,1290,125.59997413626975,-0.003236434429597396,1.6612478335698446,30.141813624210847,30.138577270507813,115.32064282343937,4.199554443359375,0.999591783606089,280000,843,13,217.02953362464905,0.04
14,/home/acthegreat/work/CS260R/Assignment 3/MetaDrive-Tut-Hard-v0/ppo,1286,122.56183362638343,-0.0036265714523883966,1.5835783689449996,44.68038379718096,44.6767571082482,155.0394212307074,3.369917154312134,0.9999332557886075,300000,935,14,233.24684500694275,0.06
15,/home/acthegreat/work/CS260R/Assignment 3/MetaDrive-Tut-Hard-v0/ppo,1279,120.1343929266511,-0.004583138026870214,1.5285770503374247,58.108573258228795,58.10399006085518,213.25093016502186,3.1114039421081543,1.0011274783275066,320000,1038,15,250.0614595413208,0.01
16,/home/acthegreat/work/CS260R/Assignment 3/MetaDrive-Tut-Hard-v0/ppo,1274,139.6890118813386,-0.0030063996700426705,1.4633490686233228,61.85804040126312,61.85503394053533,264.44799282367416,3.6420023441314697,1.0006494289789445,340000,1132,16,266.8279550075531,0.01
17,/home/acthegreat/work/CS260R/Assignment 3/MetaDrive-Tut-Hard-v0/ppo,1267,142.959561362736,-0.003154619434514107,1.4379398951163658,68.69071196531638,68.68755733783428,352.1935632656782,3.0010952949523926,1.0002487242221831,360000,1231,17,283.98077511787415,0.01
18,/home/acthegreat/work/CS260R/Assignment 3/MetaDrive-Tut-Hard-v0/ppo,1257,169.14531454352615,-0.001586598594290897,1.3657861926616766,59.5591135098384,59.55752696746435,372.5975816775591,3.6753652095794678,0.9994668452403485,380000,1323,18,302.21999883651733,0.01
